sales_key,customer_key,product_key,region_key,date_key,order_id,ship_date,ship_mode,sales,quantity,discount,profit,delivery_days,shipping_speed,profit_margin_pct,estimated_cost,discount_bucket,loss_flag
46,21,46,21,15,US-2022-167927,2022-01-26,Standard Class,272.94,3,0.0,30.02340000000001,6,Slow,11.000000000000004,242.9166,No Discount,0
47,20,47,20,15,US-2022-147627,2022-01-26,Standard Class,38.6,4,0.0,11.579999999999998,6,Slow,29.999999999999993,27.020000000000003,No Discount,0
48,22,47,6,15,US-2022-148614,2022-01-25,Standard Class,19.3,2,0.0,5.789999999999999,5,Medium,29.999999999999993,13.510000000000002,No Discount,0
49,21,48,21,15,US-2022-167927,2022-01-26,Standard Class,247.716,4,0.1,93.5816,6,Slow,37.77777777777778,154.13440000000003,Low,0
50,20,49,20,15,US-2022-147627,2022-01-26,Standard Class,22.959999999999997,7,0.0,6.658399999999997,6,Slow,28.999999999999982,16.3016,No Discount,0
51,20,50,20,15,US-2022-147627,2022-01-26,Standard Class,6.63,3,0.0,1.7901,6,Slow,27.0,4.8399,No Discount,0
52,21,51,21,15,US-2022-167927,2022-01-26,Standard Class,43.92,3,0.0,12.7368,6,Slow,28.999999999999996,31.1832,No Discount,0
53,21,52,21,15,US-2022-167927,2022-01-26,Standard Class,19.05,5,0.0,8.953499999999998,6,Slow,46.999999999999986,10.096500000000002,No Discount,0
54,23,53,22,15,US-2022-147774,2022-01-26,Standard Class,67.194,1,0.7,-51.515399999999985,6,Slow,-76.66666666666664,118.7094,High,1
55,21,54,21,15,US-2022-167927,2022-01-26,Standard Class,29.700000000000003,5,0.0,13.365,6,Slow,44.99999999999999,16.335,No Discount,0
56,20,55,20,15,US-2022-147627,2022-01-26,Standard Class,23.34,3,0.0,10.9698,6,Slow,47.0,12.3702,No Discount,0
57,22,56,6,15,US-2022-148614,2022-01-25,Standard Class,19.36,2,0.0,9.2928,5,Medium,48.0,10.0672,No Discount,0
58,21,57,21,15,US-2022-167927,2022-01-26,Standard Class,13.98,1,0.0,4.0542,6,Slow,28.999999999999996,9.9258,No Discount,0
59,21,58,21,15,US-2022-167927,2022-01-26,Standard Class,66.58,2,0.0,15.9792,6,Slow,24.000000000000004,50.6008,No Discount,0
60,20,59,20,15,US-2022-147627,2022-01-26,Standard Class,699.93,7,0.0,181.9818,6,Slow,26.0,517.9481999999999,No Discount,0
61,24,60,23,16,US-2022-110422,2022-01-23,Second Class,25.248,3,0.2,4.102799999999999,2,Fast,16.249999999999996,21.145200000000003,Low,0
62,25,61,24,16,CA-2022-115238,2022-01-24,Standard Class,24.3,5,0.0,10.45,3,Medium,43.00411522633745,13.85,No Discount,0
63,25,62,24,16,CA-2022-115238,2022-01-24,Standard Class,9.48,1,0.0,3.79,3,Medium,39.9789029535865,5.69,No Discount,0
64,25,63,24,16,CA-2022-115238,2022-01-24,Standard Class,31.4,5,0.0,13.19,3,Medium,42.0063694267516,18.21,No Discount,0
65,25,64,24,16,CA-2022-115238,2022-01-24,Standard Class,6.48,1,0.0,3.11,3,Medium,47.99382716049382,3.370000000000001,No Discount,0
66,25,65,24,16,CA-2022-115238,2022-01-24,Standard Class,209.5,10,0.0,58.66,3,Medium,27.999999999999996,150.84,No Discount,0
67,26,66,25,17,US-2022-146997,2022-01-27,Standard Class,5.9399999999999995,3,0.0,0.0,4,Medium,0.0,5.9399999999999995,No Discount,0
68,27,67,26,17,US-2022-102645,2022-01-28,Standard Class,40.08,6,0.0,19.2384,5,Medium,48.0,20.8416,No Discount,0
69,28,68,27,18,US-2022-167997,2022-01-29,First Class,141.96,2,0.0,39.7488,3,Medium,28.000000000000004,102.2112,No Discount,0
70,29,69,28,18,US-2022-155502,2022-01-31,Standard Class,12.419999999999998,3,0.0,4.4712,5,Medium,36.00000000000001,7.9487999999999985,No Discount,0
71,29,70,28,18,US-2022-155502,2022-01-31,Standard Class,62.82000000000001,3,0.0,30.7818,5,Medium,48.99999999999999,32.0382,No Discount,0
72,28,71,27,18,US-2022-167997,2022-01-29,First Class,10.68,2,0.0,5.0196,3,Medium,47.0,5.6604,No Discount,0
73,29,72,28,18,US-2022-155502,2022-01-31,Standard Class,16.68,2,0.0,8.34,5,Medium,50.0,8.34,No Discount,0
74,29,73,28,18,US-2022-155502,2022-01-31,Standard Class,19.44,3,0.0,9.3312,5,Medium,48.00000000000001,10.1088,No Discount,0
75,29,74,28,18,US-2022-155502,2022-01-31,Standard Class,489.92,8,0.0,0.0,5,Medium,0.0,489.92,No Discount,0
76,29,75,28,18,US-2022-155502,2022-01-31,Standard Class,187.98,2,0.0,52.6344,5,Medium,28.000000000000004,135.3456,No Discount,0
77,29,76,28,18,US-2022-155502,2022-01-31,Standard Class,155.35,13,0.0,0.0,5,Medium,0.0,155.35,No Discount,0
78,30,77,29,19,US-2022-117163,2022-02-02,Standard Class,333.0,3,0.2,-16.64999999999999,6,Slow,-4.999999999999997,349.65,Low,1
79,30,78,29,19,US-2022-117163,2022-02-02,Standard Class,36.44,4,0.0,12.025199999999998,6,Slow,32.99999999999999,24.4148,No Discount,0
80,30,79,29,19,US-2022-117163,2022-02-02,Standard Class,57.23,1,0.0,14.307499999999996,6,Slow,24.999999999999993,42.9225,No Discount,0
81,31,80,30,20,US-2022-100328,2022-02-03,Standard Class,3.928,1,0.2,1.3257,6,Slow,33.75,2.6022999999999996,Low,0
82,32,81,31,21,US-2022-134103,2022-02-04,Standard Class,10.56,2,0.0,4.752,5,Medium,44.99999999999999,5.808000000000001,No Discount,0
83,32,82,31,21,US-2022-134103,2022-02-04,Standard Class,229.94,2,0.0,6.898200000000003,5,Medium,3.0000000000000013,223.0418,No Discount,0
84,33,83,32,22,US-2022-115161,2022-02-02,First Class,290.666,2,0.15,3.4195999999999884,2,Fast,1.1764705882352902,287.2464,Low,0
85,34,84,33,23,US-2022-140795,2022-02-03,First Class,468.9,6,0.0,206.3160000000001,2,Fast,44.00000000000002,262.5839999999999,No Discount,0
86,35,85,34,24,US-2022-123400,2022-02-09,Standard Class,18.336,2,0.7,-12.224,7,Slow,-66.66666666666667,30.56,High,1
87,36,86,29,24,US-2022-139857,2022-02-06,Standard Class,12.35,5,0.0,5.8045,4,Medium,47.0,6.5455,No Discount,0
88,35,87,34,24,US-2022-123400,2022-02-09,Standard Class,180.96,5,0.2,13.571999999999996,7,Slow,7.499999999999997,167.388,Low,0
89,24,88,35,25,US-2022-111059,2022-02-06,Second Class,13.272000000000002,3,0.2,4.3134,3,Medium,32.49999999999999,8.958600000000002,Low,0
90,24,89,35,25,US-2022-111059,2022-02-06,Second Class,83.84,2,0.2,27.248,3,Medium,32.5,56.592,Low,0
91,37,41,36,26,US-2022-104808,2022-02-08,Second Class,17.248,2,0.2,6.036799999999999,4,Medium,34.99999999999999,11.211200000000002,Low,0
92,38,90,37,26,US-2022-107181,2022-02-08,Standard Class,82.896,3,0.2,29.0136,4,Medium,35.0,53.8824,Low,0
93,38,91,37,26,US-2022-107181,2022-02-08,Standard Class,34.24,4,0.0,16.0928,4,Medium,47.0,18.1472,No Discount,0
94,17,92,38,27,US-2022-108182,2022-02-10,Second Class,8.951999999999998,2,0.8,-14.7708,4,Medium,-165.00000000000003,23.7228,High,1
95,39,93,39,27,US-2022-131905,2022-02-09,First Class,15.0,4,0.0,7.199999999999999,3,Medium,47.99999999999999,7.800000000000001,No Discount,0
96,39,94,39,27,US-2022-131905,2022-02-09,First Class,144.95,5,0.0,42.035499999999985,3,Medium,28.999999999999993,102.9145,No Discount,0
97,39,95,39,27,US-2022-131905,2022-02-09,First Class,161.61,1,0.0,42.018600000000006,3,Medium,26.0,119.5914,No Discount,0
98,14,96,30,28,US-2022-169390,2022-02-10,Second Class,64.96,4,0.0,9.744,3,Medium,15.000000000000002,55.215999999999994,No Discount,0
99,40,97,40,28,US-2022-107755,2022-02-12,Standard Class,115.36,7,0.0,49.60480000000001,5,Medium,43.00000000000001,65.75519999999999,No Discount,0
100,41,98,41,29,US-2022-125759,2022-02-09,First Class,14.56,2,0.0,5.5328,1,Fast,38.0,9.0272,No Discount,0
101,42,99,42,30,US-2022-168368,2022-02-15,Second Class,60.89,1,0.0,15.222499999999997,4,Medium,24.999999999999993,45.6675,No Discount,0
102,42,100,42,30,US-2022-168368,2022-02-15,Second Class,332.94,3,0.0,53.270399999999995,4,Medium,15.999999999999998,279.6696,No Discount,0
103,43,101,39,30,US-2022-127614,2022-02-15,Standard Class,1256.22,6,0.0,75.37319999999994,4,Medium,5.999999999999995,1180.8468,No Discount,0
104,43,102,39,30,US-2022-127614,2022-02-15,Standard Class,17.46,2,0.0,8.206199999999999,4,Medium,46.99999999999999,9.253800000000002,No Discount,0
105,42,103,42,30,US-2022-168368,2022-02-15,Second Class,51.900000000000006,3,0.0,24.393,4,Medium,47.0,27.507000000000005,No Discount,0
106,42,104,42,30,US-2022-168368,2022-02-15,Second Class,9.64,2,0.0,4.4344,4,Medium,46.0,5.2056,No Discount,0
107,42,105,42,30,US-2022-168368,2022-02-15,Second Class,14.94,3,0.0,6.8724,4,Medium,46.0,8.067599999999999,No Discount,0
108,42,106,42,30,US-2022-168368,2022-02-15,Second Class,64.96,2,0.0,2.598399999999998,4,Medium,3.999999999999998,62.3616,No Discount,0
109,43,84,39,30,US-2022-127614,2022-02-15,Standard Class,234.45,3,0.0,103.15800000000004,4,Medium,44.00000000000002,131.29199999999994,No Discount,0
110,44,107,43,31,US-2022-110674,2022-02-18,Standard Class,129.568,2,0.2,-24.29400000000002,6,Slow,-18.75000000000001,153.86200000000002,Low,1
111,45,108,44,32,US-2022-121762,2022-02-18,Standard Class,81.96,2,0.0,22.9488,4,Medium,28.000000000000004,59.011199999999995,No Discount,0
112,46,109,1,32,US-2022-107706,2022-02-19,Second Class,16.176000000000002,3,0.2,6.065999999999999,5,Medium,37.499999999999986,10.110000000000005,Low,0
113,45,110,44,32,US-2022-121762,2022-02-18,Standard Class,238.62,2,0.0,4.772400000000005,4,Medium,2.0000000000000018,233.8476,No Discount,0
114,45,111,44,32,US-2022-121762,2022-02-18,Standard Class,239.96999999999997,3,0.0,86.38919999999999,4,Medium,36.0,153.58079999999998,No Discount,0
115,47,112,35,33,US-2022-165568,2022-02-19,Standard Class,21.36,5,0.2,7.209,4,Medium,33.75,14.151,Low,0
116,48,113,45,34,US-2022-122567,2022-02-21,Standard Class,7.959999999999997,2,0.8,-13.930000000000003,5,Medium,-175.0000000000001,21.89,High,1
117,48,114,45,34,US-2022-122567,2022-02-21,Standard Class,1.0799999999999998,3,0.8,-1.7280000000000002,5,Medium,-160.00000000000003,2.808,High,1
118,17,115,46,35,US-2022-154165,2022-02-24,Standard Class,54.208,14,0.2,8.808799999999998,7,Slow,16.249999999999996,45.3992,Low,0
119,49,116,47,36,US-2022-165589,2022-02-18,Same Day,25.16,5,0.6,-11.322,0,Fast,-44.99999999999999,36.482,High,1
120,50,117,48,36,US-2022-152905,2022-02-24,Standard Class,12.624,2,0.2,-2.524800000000002,6,Slow,-20.000000000000018,15.148800000000003,Low,1
121,51,118,49,37,US-2022-109491,2022-02-26,Standard Class,20.32,4,0.0,6.908799999999999,6,Slow,34.0,13.4112,No Discount,0
122,52,119,6,37,US-2022-164903,2022-02-24,Standard Class,12.96,2,0.0,6.2208000000000006,4,Medium,48.00000000000001,6.7392,No Discount,0
123,51,120,49,37,US-2022-109491,2022-02-26,Standard Class,62.31,3,0.0,22.4316,6,Slow,36.0,39.8784,No Discount,0
124,53,2,50,38,US-2022-165540,2022-02-25,Standard Class,8.849999999999998,5,0.8,-13.717499999999998,4,Medium,-155.0,22.567499999999995,High,1
125,54,121,51,39,US-2022-133354,2022-02-24,First Class,19.44,3,0.0,9.3312,2,Fast,48.00000000000001,10.1088,No Discount,0
126,55,122,52,40,US-2022-103744,2022-02-27,Standard Class,4.427999999999999,3,0.8,-6.863399999999999,4,Medium,-155.0,11.291399999999998,High,1
127,55,123,52,40,US-2022-103744,2022-02-27,Standard Class,6.936000000000001,3,0.2,2.3409000000000004,4,Medium,33.75,4.5951,Low,0
128,56,124,53,41,US-2022-137680,2022-03-02,Standard Class,22.776000000000003,3,0.2,7.6869,6,Slow,33.74999999999999,15.089100000000004,Low,0
129,56,1,53,41,US-2022-137680,2022-03-02,Standard Class,32.896,4,0.2,11.102399999999996,6,Slow,33.749999999999986,21.793600000000005,Low,0
130,57,125,54,42,US-2022-156545,2022-03-03,First Class,19.456000000000003,4,0.2,3.404799999999998,4,Medium,17.49999999999999,16.051200000000005,Low,0
131,58,126,55,43,US-2022-113880,2022-03-05,Standard Class,634.116,6,0.3,-172.11720000000005,4,Medium,-27.142857142857153,806.2332,Medium,1
132,59,127,52,43,US-2022-131009,2022-03-05,Standard Class,362.24999999999994,6,0.3,0.0,4,Medium,0.0,362.24999999999994,Medium,0
133,60,6,56,43,US-2022-104269,2022-03-06,Second Class,457.568,2,0.2,51.47639999999994,5,Medium,11.249999999999988,406.0916,Low,0
134,59,35,52,43,US-2022-131009,2022-03-05,Standard Class,63.55200000000001,6,0.6,-34.9536,4,Medium,-54.99999999999999,98.50560000000002,High,1
135,61,128,57,43,US-2022-168312,2022-03-07,Standard Class,376.509,3,0.3,-43.029600000000045,6,Slow,-11.42857142857144,419.5386000000001,Medium,1
136,59,129,52,43,US-2022-131009,2022-03-05,Standard Class,18.84,5,0.2,-3.5325,4,Medium,-18.75,22.3725,Low,1
137,58,130,55,43,US-2022-113880,2022-03-05,Standard Class,17.472,3,0.2,5.678399999999998,4,Medium,32.499999999999986,11.793600000000003,Low,0
138,59,131,52,43,US-2022-131009,2022-03-05,Standard Class,129.552,3,0.2,-22.671600000000005,4,Medium,-17.500000000000004,152.2236,Low,1
139,61,79,57,43,US-2022-168312,2022-03-07,Standard Class,137.352,3,0.2,8.584499999999991,6,Slow,6.249999999999994,128.7675,Low,0
140,62,132,58,43,US-2022-143707,2022-03-05,Standard Class,5.9399999999999995,3,0.0,1.6038,4,Medium,27.0,4.3362,No Discount,0
141,63,28,59,44,US-2022-107524,2022-03-08,Standard Class,11.36,2,0.0,5.339199999999999,6,Slow,46.99999999999999,6.0208,No Discount,0
142,64,133,60,44,US-2022-111157,2022-03-06,Standard Class,3.4240000000000004,1,0.2,1.0699999999999996,4,Medium,31.249999999999982,2.354000000000001,Low,0
143,63,134,59,44,US-2022-107524,2022-03-08,Standard Class,36.4,5,0.0,17.472,6,Slow,48.00000000000001,18.927999999999997,No Discount,0
144,64,135,60,44,US-2022-111157,2022-03-06,Standard Class,151.20000000000002,3,0.2,32.13,4,Medium,21.25,119.07000000000002,Low,0
145,65,40,54,45,US-2022-127978,2022-03-08,Standard Class,302.45,5,0.5,-199.617,5,Medium,-66.0,502.067,Medium,1
146,66,136,29,45,US-2022-105648,2022-03-07,Standard Class,626.3520000000001,3,0.2,-23.48820000000009,4,Medium,-3.7500000000000138,649.8402000000002,Low,1
147,67,137,1,45,US-2022-130421,2022-03-07,Standard Class,176.77199999999996,3,0.8,-459.6072,4,Medium,-260.00000000000006,636.3792,High,1
148,68,125,61,45,US-2022-155852,2022-03-07,Second Class,19.456000000000003,4,0.2,3.404799999999998,4,Medium,17.49999999999999,16.051200000000005,Low,0
149,69,138,58,45,US-2022-127964,2022-03-08,Standard Class,25.32,5,0.2,9.1785,5,Medium,36.25,16.1415,Low,0
150,69,89,58,45,US-2022-127964,2022-03-08,Standard Class,125.76,3,0.2,40.872,5,Medium,32.5,84.888,Low,0
151,65,139,54,45,US-2022-127978,2022-03-08,Standard Class,15.12,3,0.2,4.913999999999999,5,Medium,32.49999999999999,10.206,Low,0
152,65,140,54,45,US-2022-127978,2022-03-08,Standard Class,44.672,8,0.2,-10.051200000000003,5,Medium,-22.500000000000007,54.7232,Low,1
153,69,141,58,45,US-2022-127964,2022-03-08,Standard Class,9.99,1,0.0,4.5954,5,Medium,46.0,5.3946000000000005,No Discount,0
154,44,142,62,46,US-2022-117016,2022-03-09,Standard Class,15.552000000000003,3,0.2,2.332799999999999,5,Medium,14.999999999999988,13.219200000000004,Low,0
155,70,143,63,46,US-2022-116239,2022-03-04,Same Day,354.90000000000003,5,0.0,17.744999999999962,0,Fast,4.9999999999999885,337.1550000000001,No Discount,0
156,71,144,64,47,US-2022-169061,2022-03-08,Second Class,59.52,3,0.0,15.4752,3,Medium,25.999999999999996,44.0448,No Discount,0
157,71,145,64,47,US-2022-169061,2022-03-08,Second Class,49.632000000000005,6,0.2,16.750799999999998,3,Medium,33.74999999999999,32.88120000000001,Low,0
158,71,146,64,47,US-2022-169061,2022-03-08,Second Class,97.82,2,0.0,45.97539999999999,3,Medium,47.0,51.8446,No Discount,0
159,71,147,64,47,US-2022-169061,2022-03-08,Second Class,18.62,2,0.0,5.399799999999999,3,Medium,28.999999999999993,13.220200000000002,No Discount,0
160,71,148,64,47,US-2022-169061,2022-03-08,Second Class,479.97,3,0.0,177.58890000000002,3,Medium,37.00000000000001,302.3811,No Discount,0
161,72,149,44,48,US-2022-104563,2022-03-12,Standard Class,436.70400000000006,6,0.2,21.835199999999983,5,Medium,4.999999999999996,414.8688000000001,Low,0
162,50,150,44,48,US-2022-156587,2022-03-08,First Class,48.712,1,0.2,5.480099999999997,1,Fast,11.249999999999991,43.23190000000001,Low,0
163,72,151,44,48,US-2022-104563,2022-03-12,Standard Class,481.568,2,0.2,54.17639999999993,5,Medium,11.249999999999986,427.3916,Low,0
164,72,152,44,48,US-2022-104563,2022-03-12,Standard Class,20.65,5,0.0,9.499,5,Medium,46.00000000000001,11.150999999999998,No Discount,0
165,50,153,44,48,US-2022-156587,2022-03-08,First Class,17.94,3,0.0,4.6644000000000005,1,Fast,26.0,13.2756,No Discount,0
166,73,154,65,48,US-2022-131982,2022-03-11,Second Class,107.648,2,0.2,33.639999999999986,4,Medium,31.24999999999999,74.00800000000001,Low,0
167,72,155,44,48,US-2022-104563,2022-03-12,Standard Class,204.9,5,0.0,0.0,5,Medium,0.0,204.9,No Discount,0
168,50,156,44,48,US-2022-156587,2022-03-08,First Class,242.94,3,0.0,4.858800000000016,1,Fast,2.0000000000000067,238.08119999999997,No Discount,0
169,74,157,66,49,US-2022-140116,2022-03-17,Standard Class,83.168,4,0.2,9.356399999999994,7,Slow,11.249999999999991,73.81160000000001,Low,0
170,75,158,67,49,US-2022-100279,2022-03-14,Standard Class,22.38,2,0.0,10.7424,4,Medium,48.00000000000001,11.6376,No Discount,0
171,74,31,66,49,US-2022-140116,2022-03-17,Standard Class,636.4080000000001,3,0.2,-15.910200000000088,7,Slow,-2.5000000000000133,652.3182000000002,Low,1
172,76,159,54,50,US-2022-166884,2022-03-16,Second Class,8.32,5,0.2,2.2880000000000003,5,Medium,27.500000000000004,6.032,Low,0
173,77,160,68,50,US-2022-114790,2022-03-13,Second Class,146.76,3,0.0,38.1576,2,Fast,26.0,108.6024,No Discount,0
174,78,161,69,50,US-2022-103338,2022-03-15,Standard Class,7.98,3,0.0,2.0748,4,Medium,26.0,5.905200000000001,No Discount,0
175,76,162,54,50,US-2022-166884,2022-03-16,Second Class,10.464000000000002,6,0.2,1.7003999999999992,5,Medium,16.24999999999999,8.763600000000004,Low,0
176,77,163,68,50,US-2022-114790,2022-03-13,Second Class,14.94,3,0.0,7.021800000000001,2,Fast,47.00000000000001,7.918199999999999,No Discount,0
177,79,164,30,50,US-2022-158337,2022-03-14,Second Class,108.92,14,0.0,49.014,3,Medium,45.0,59.906,No Discount,0
178,77,97,68,50,US-2022-114790,2022-03-13,Second Class,32.96,2,0.0,14.172800000000002,2,Fast,43.00000000000001,18.7872,No Discount,0
179,77,165,68,50,US-2022-114790,2022-03-13,Second Class,587.97,3,0.0,164.63160000000005,2,Fast,28.000000000000007,423.3384,No Discount,0
180,80,6,70,51,CA-2022-139675,2022-03-18,Second Class,915.14,4,0.2,102.95,5,Medium,11.24964486308106,812.1899999999999,Low,0
181,80,166,70,51,CA-2022-139675,2022-03-18,Second Class,327.76,8,0.0,91.77,5,Medium,27.99914571637784,235.99,No Discount,0
182,81,167,39,52,US-2022-125521,2022-03-19,Standard Class,1139.92,4,0.0,284.98,5,Medium,25.0,854.94,No Discount,0
183,82,168,71,52,US-2022-157623,2022-03-18,Standard Class,3.38,1,0.0,1.2506,4,Medium,37.0,2.1294,No Discount,0
184,83,145,72,52,US-2022-114510,2022-03-19,Standard Class,33.088,4,0.2,11.1672,5,Medium,33.75,21.9208,Low,0
185,83,169,72,52,US-2022-114510,2022-03-19,Standard Class,62.048,2,0.2,20.1656,5,Medium,32.5,41.8824,Low,0
186,84,170,73,52,US-2022-100293,2022-03-18,Standard Class,91.056,6,0.2,31.869599999999995,4,Medium,35.0,59.186400000000006,Low,0
187,82,81,71,52,US-2022-157623,2022-03-18,Standard Class,10.56,2,0.0,4.752,4,Medium,44.99999999999999,5.808000000000001,No Discount,0
188,85,171,46,52,US-2022-152618,2022-03-17,First Class,8.448,2,0.2,2.6399999999999997,3,Medium,31.249999999999993,5.808000000000001,Low,0
