product_key,product_id,product_name,category,sub_category
127,FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs
128,FUR-TA-10001866,Bevis Round Conference Room Tables and Bases,Furniture,Tables
129,OFF-FA-10004395,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Fasteners
130,OFF-PA-10003036,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,Paper
131,OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage
132,TEC-PH-10003655,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Technology,Phones
133,OFF-PA-10000327,Xerox 1971,Office Supplies,Paper
134,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper
135,TEC-AC-10004353,Hypercom P1300 Pinpad,Technology,Accessories
136,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables
137,OFF-AP-10002534,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances
138,OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,Binders
139,OFF-LA-10000305,Avery 495,Office Supplies,Labels
140,OFF-ST-10002486,Eldon Shelf Savers Cubes and Bins,Office Supplies,Storage
141,TEC-PH-10004700,PowerGen Dual USB Car Charger,Technology,Phones
142,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,Art
143,OFF-ST-10001370,Sensible Storage WireTech Storage Systems,Office Supplies,Storage
144,OFF-AR-10000588,Newell 345,Office Supplies,Art
145,OFF-BI-10001617,GBC Wire Binding Combs,Office Supplies,Binders
146,OFF-PA-10001878,Xerox 1891,Office Supplies,Paper
147,OFF-SU-10000381,Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies
148,TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,Accessories
149,FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs
150,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
151,FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs
152,OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art
153,OFF-AR-10001427,Newell 330,Office Supplies,Art
154,OFF-BI-10004224,Catalog Binders with Expanding Posts,Office Supplies,Binders
155,OFF-ST-10000934,"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage
156,OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage
157,OFF-AR-10001044,"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,Art
158,OFF-PA-10002259,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Office Supplies,Paper
159,FUR-FU-10003981,Eldon Wave Desk Accessories,Furniture,Furnishings
160,OFF-AP-10002578,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,Appliances
161,OFF-AR-10001770,Economy #2 Pencils,Office Supplies,Art
162,OFF-FA-10001561,Stockwell Push Pins,Office Supplies,Fasteners
163,OFF-PA-10000213,Xerox 198,Office Supplies,Paper
164,OFF-PA-10002137,"Southworth 100% Résumé Paper, 24lb.",Office Supplies,Paper
165,TEC-PH-10000984,Panasonic KX-TG9471B,Technology,Phones
166,FUR-FU-10001979,Dana Halogen Swing-Arm Architect Lamp,Furniture,Furnishings
167,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs
168,OFF-AR-10003723,Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Art
169,OFF-BI-10003007,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders
170,OFF-PA-10000176,Xerox 1887,Office Supplies,Paper
171,OFF-PA-10001215,Xerox 1963,Office Supplies,Paper
172,OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage
173,OFF-ST-10003221,Staple magnet,Office Supplies,Storage
174,TEC-AC-10004877,Imation 30456 USB Flash Drive 8GB,Technology,Accessories
175,TEC-MA-10003626,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,Technology,Machines
176,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings
177,OFF-BI-10000773,Insertable Tab Post Binder Dividers,Office Supplies,Binders
178,OFF-BI-10001543,GBC VeloBinder Manual Binding System,Office Supplies,Binders
179,OFF-PA-10002120,Xerox 1889,Office Supplies,Paper
180,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage
181,TEC-PH-10002415,Polycom VoiceStation 500 Conference phone,Technology,Phones
182,FUR-TA-10001950,Balt Solid Wood Round Tables,Furniture,Tables
183,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables
184,FUR-TA-10004175,"Hon 30"" x 60"" Table with Locking Drawer",Furniture,Tables
185,OFF-AP-10001154,Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,Appliances
186,OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances
187,OFF-AR-10003732,Newell 333,Office Supplies,Art
188,OFF-AR-10003829,Newell 35,Office Supplies,Art
189,OFF-BI-10000136,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,Binders
190,OFF-BI-10000309,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders
191,OFF-PA-10000919,Xerox 1918,Office Supplies,Paper
192,OFF-PA-10002195,Xerox 1966,Office Supplies,Paper
193,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper
194,OFF-PA-10002960,Xerox 1926,Office Supplies,Paper
195,OFF-PA-10003063,EcoTones Memo Sheets,Office Supplies,Paper
196,OFF-PA-10003349,Xerox 1957,Office Supplies,Paper
197,OFF-PA-10003641,Xerox 1909,Office Supplies,Paper
198,FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases
199,FUR-FU-10001986,"Dana Fluorescent Magnifying Lamp, White, 36""",Furniture,Furnishings
200,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings
201,FUR-FU-10004597,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Furnishings
202,OFF-AR-10003183,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art
203,OFF-FA-10003112,Staples,Office Supplies,Fasteners
204,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines
205,TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines
206,FUR-FU-10002508,Document Clip Frames,Furniture,Furnishings
207,OFF-LA-10000443,Avery 501,Office Supplies,Labels
208,OFF-ST-10000918,Crate-A-Files,Office Supplies,Storage
209,TEC-AC-10002647,"Logitech Wireless Boombox Speaker - portable - wireless, wired",Technology,Accessories
210,TEC-PH-10004667,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones
211,FUR-FU-10001473,DAX Wood Document Frame,Furniture,Furnishings
212,OFF-AR-10001573,American Pencil,Office Supplies,Art
213,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art
214,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art
215,OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders
216,OFF-LA-10004409,Avery 492,Office Supplies,Labels
217,OFF-LA-10004544,Avery 505,Office Supplies,Labels
218,OFF-PA-10000675,Xerox 1919,Office Supplies,Paper
219,OFF-ST-10002301,Tennsco Commercial Shelving,Office Supplies,Storage
220,TEC-PH-10000730,Samsung Galaxy S4 Active,Technology,Phones
221,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs
222,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders
223,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders
224,OFF-PA-10002581,Xerox 1951,Office Supplies,Paper
225,OFF-LA-10004484,Avery 476,Office Supplies,Labels
226,OFF-ST-10000585,Economy Rollaway Files,Office Supplies,Storage
227,TEC-PH-10003484,Ooma Telo VoIP Home Phone System,Technology,Phones
228,FUR-FU-10002813,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Furniture,Furnishings
229,OFF-PA-10004948,Xerox 190,Office Supplies,Paper
230,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs
231,OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Office Supplies,Art
232,OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",Office Supplies,Art
233,TEC-AC-10002558,Imation Swivel Flash Drive USB flash drive - 8 GB,Technology,Accessories
234,OFF-AR-10004272,Newell 308,Office Supplies,Art
235,OFF-LA-10001982,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels
236,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
237,TEC-PH-10004100,Griffin GC17055 Auxiliary Audio Cable,Technology,Phones
238,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables
239,FUR-TA-10003954,Hon 94000 Series Round Tables,Furniture,Tables
240,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes
241,TEC-PH-10003273,AT&T TR1909W,Technology,Phones
242,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables
243,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases
244,FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs
245,OFF-AR-10001231,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Art
246,OFF-AR-10001915,Peel-Off China Markers,Office Supplies,Art
247,OFF-EN-10002230,Airmail Envelopes,Office Supplies,Envelopes
248,OFF-LA-10002312,Avery 490,Office Supplies,Labels
249,OFF-ST-10001511,Space Solutions Commercial Steel Shelving,Office Supplies,Storage
250,OFF-ST-10002957,Sterilite Show Offs Storage Containers,Office Supplies,Storage
251,TEC-PH-10001819,Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones
252,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs
253,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,Office Supplies,Appliances
254,OFF-BI-10001097,Avery Hole Reinforcements,Office Supplies,Binders
255,OFF-BI-10001636,Ibico Plastic and Wire Spiral Binding Combs,Office Supplies,Binders
256,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,Office Supplies,Binders
257,OFF-BI-10003529,Avery Round Ring Poly Binders,Office Supplies,Binders
258,OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders
259,TEC-AC-10004901,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,Technology,Accessories
260,OFF-BI-10000042,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Office Supplies,Binders
261,OFF-BI-10000145,Zipper Ring Binder Pockets,Office Supplies,Binders
262,OFF-ST-10000636,Rogers Profile Extra Capacity Storage Tub,Office Supplies,Storage
263,FUR-FU-10003192,Luxo Adjustable Task Clamp Lamp,Furniture,Furnishings
264,OFF-AP-10003842,Euro-Pro Shark Turbo Vacuum,Office Supplies,Appliances
265,OFF-PA-10001593,Xerox 1947,Office Supplies,Paper
266,OFF-PA-10002986,Xerox 1898,Office Supplies,Paper
267,OFF-PA-10004248,Xerox 1990,Office Supplies,Paper
268,TEC-PH-10001128,Motorola Droid Maxx,Technology,Phones
269,OFF-EN-10001415,Staple envelope,Office Supplies,Envelopes
270,FUR-FU-10004020,Advantus Panel Wall Acrylic Frame,Furniture,Furnishings
271,OFF-AR-10001955,Newell 319,Office Supplies,Art
272,OFF-BI-10004140,Avery Non-Stick Binders,Office Supplies,Binders
273,OFF-LA-10001641,Avery 518,Office Supplies,Labels
274,OFF-PA-10003797,Xerox 209,Office Supplies,Paper
275,OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage
276,TEC-AC-10002926,Logitech Wireless Marathon Mouse M705,Technology,Accessories
277,OFF-AR-10000127,Newell 321,Office Supplies,Art
278,OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,Office Supplies,Art
279,OFF-AR-10004757,Crayola Colored Pencils,Office Supplies,Art
280,OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders
281,OFF-BI-10004209,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders
282,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper
283,OFF-ST-10001031,Adjustable Personal File Tote,Office Supplies,Storage
284,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage
285,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies
286,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings
287,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings
288,FUR-TA-10000688,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables
289,FUR-TA-10001039,KI Adjustable-Height Table,Furniture,Tables
290,OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Office Supplies,Art
291,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders
292,OFF-BI-10003719,Large Capacity Hanging Post Binders,Office Supplies,Binders
293,OFF-PA-10001977,Xerox 194,Office Supplies,Paper
294,OFF-PA-10003309,Xerox 211,Office Supplies,Paper
295,OFF-SU-10004498,Martin-Yale Premier Letter Opener,Office Supplies,Supplies
296,TEC-AC-10003441,Kingston Digital DataTraveler 32GB USB 2.0,Technology,Accessories
297,TEC-AC-10004171,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology,Accessories
298,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories
299,FUR-FU-10004415,"Stacking Tray, Side-Loading, Legal, Smoke",Furniture,Furnishings
300,OFF-PA-10000100,Xerox 1945,Office Supplies,Paper
301,OFF-PA-10003441,Xerox 226,Office Supplies,Paper
302,TEC-PH-10004922,RCA Visys Integrated PBX 8-Line Router,Technology,Phones
303,FUR-TA-10001086,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",Furniture,Tables
304,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables
305,FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables
306,OFF-FA-10000611,Binder Clips by OIC,Office Supplies,Fasteners
307,OFF-PA-10004733,Things To Do Today Spiral Book,Office Supplies,Paper
308,TEC-AC-10001908,Logitech Wireless Headset h800,Technology,Accessories
309,OFF-BI-10004817,GBC Personal VeloBind Strips,Office Supplies,Binders
310,OFF-FA-10001332,"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,Fasteners
311,OFF-PA-10000029,Xerox 224,Office Supplies,Paper
312,OFF-ST-10000876,Eldon Simplefile Box Office,Office Supplies,Storage
313,TEC-AC-10001874,Logitech Wireless Anywhere Mouse MX for PC and Mac,Technology,Accessories
314,TEC-AC-10003399,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Technology,Accessories
315,TEC-PH-10000586,AT&T SB67148 SynJ,Technology,Phones
316,TEC-PH-10001835,Jawbone JAMBOX Wireless Bluetooth Speaker,Technology,Phones
317,OFF-AR-10002987,Prismacolor Color Pencil Set,Office Supplies,Art
318,OFF-BI-10002764,Recycled Pressboard Report Cover with Reinforced Top Hinge,Office Supplies,Binders
319,OFF-PA-10000289,Xerox 213,Office Supplies,Paper
320,TEC-PH-10000576,AT&T 1080 Corded phone,Technology,Phones
